adverse_event	select_target_uniprot	select_target_symbol
pain	P49682	CXCR3
pain	P53667	LIMK1
pain	Q02750	MAP2K1
pain	Q16581	C3AR1
pain	Q96GD4	AURKB
drug_interaction	O00519	FAAH
drug_interaction	O14920	IKBKB
drug_interaction	O15379	HDAC3
drug_interaction	O75173	ADAMTS4
drug_interaction	P00519	ABL1
drug_interaction	P00734	F2
drug_interaction	P00740	F9
drug_interaction	P00748	F12
drug_interaction	P00749	PLAU
drug_interaction	P00797	REN
drug_interaction	P04035	HMGCR
drug_interaction	P07384	CAPN1
drug_interaction	P08069	IGF1R
drug_interaction	P08311	CTSG
drug_interaction	P08473	MME
drug_interaction	P08514	ITGA2B
drug_interaction	P08912	CHRM5
drug_interaction	P08913	ADRA2A
drug_interaction	P09917	ALOX5
drug_interaction	P10721	KIT
drug_interaction	P10828	THRB
drug_interaction	P11473	VDR
drug_interaction	P13612	ITGA4
drug_interaction	P13866	SLC5A1
drug_interaction	P14324	FDPS
drug_interaction	P14867	GABRA1
drug_interaction	P16455	MGMT
drug_interaction	P17706	PTPN2
drug_interaction	P20292	ALOX5AP
drug_interaction	P20309	CHRM3
drug_interaction	P21728	DRD1
drug_interaction	P25021	HRH2
drug_interaction	P25090	FPR2
drug_interaction	P25100	ADRA1D
drug_interaction	P28221	HTR1D
drug_interaction	P28845	HSD11B1
drug_interaction	P29275	ADORA2B
drug_interaction	P31639	SLC5A2
drug_interaction	P32247	BRS3
drug_interaction	P32297	CHRNA3
drug_interaction	P34903	GABRA3
drug_interaction	P34913	EPHX2
drug_interaction	P35367	HRH1
drug_interaction	P35610	SOAT1
drug_interaction	P35916	FLT4
drug_interaction	P35968	KDR
drug_interaction	P36544	CHRNA7
drug_interaction	P37288	AVPR1A
drug_interaction	P39900	MMP12
drug_interaction	P42338	PIK3CB
drug_interaction	P43088	PTGFR
drug_interaction	P43166	CA7
drug_interaction	P43235	CTSK
drug_interaction	P43681	CHRNA4
drug_interaction	P46098	HTR3A
drug_interaction	P47871	GCGR
drug_interaction	P47900	P2RY1
drug_interaction	P49768	PSEN1
drug_interaction	P53350	PLK1
drug_interaction	P53667	LIMK1
drug_interaction	P61073	CXCR4
drug_interaction	P62942	FKBP1A
drug_interaction	P62993	GRB2
drug_interaction	P80365	HSD11B2
drug_interaction	Q08499	PDE4D
drug_interaction	Q12908	SLC10A2
drug_interaction	Q16581	C3AR1
drug_interaction	Q8TCT1	PHOSPHO1
drug_interaction	Q8TDS4	HCAR2
drug_interaction	Q969S8	HDAC10
drug_interaction	Q96EB6	SIRT1
drug_interaction	Q9H3N8	HRH4
drug_interaction	Q9NYA1	SPHK1
drug_interaction	Q9UNA0	ADAMTS5
drug_interaction	Q9Y233	PDE10A
drug_ineffective	O14746	TERT
drug_ineffective	O43353	RIPK2
drug_ineffective	O94925	GLS
drug_ineffective	P00734	F2
drug_ineffective	P08246	ELANE
drug_ineffective	P08709	F7
drug_ineffective	P10415	BCL2
drug_ineffective	P11086	PNMT
drug_ineffective	P13497	BMP1
drug_ineffective	P16455	MGMT
drug_ineffective	P18405	SRD5A1
drug_ineffective	P23280	CA6
drug_ineffective	P23975	SLC6A2
drug_ineffective	P24941	CDK2
drug_ineffective	P25021	HRH2
drug_ineffective	P32297	CHRNA3
drug_ineffective	P35218	CA5A
drug_ineffective	P35462	DRD3
drug_ineffective	P37268	FDFT1
drug_ineffective	P42574	CASP3
drug_ineffective	P43088	PTGFR
drug_ineffective	P43405	SYK
drug_ineffective	P47989	XDH
drug_ineffective	P50406	HTR6
drug_ineffective	P80365	HSD11B2
drug_ineffective	Q01959	SLC6A3
drug_ineffective	Q08499	PDE4D
drug_ineffective	Q13002	GRIK2
drug_ineffective	Q15059	BRD3
drug_ineffective	Q16581	C3AR1
drug_ineffective	Q16790	CA9
drug_ineffective	Q86TI2	DPP9
drug_ineffective	Q86X55	CARM1
drug_ineffective	Q9H244	P2RY12
drug_ineffective	Q9ULX7	CA14
drug_ineffective	Q9UNA0	ADAMTS5
drug_ineffective	Q9Y243	AKT3
drug_ineffective	Q9Y2D0	CA5B
hepatic_function_abnormal	O14920	IKBKB
hepatic_function_abnormal	P00915	CA1
hepatic_function_abnormal	P07477	PRSS1
hepatic_function_abnormal	P25116	F2R
hepatic_function_abnormal	P27338	MAOB
hepatic_function_abnormal	P43116	PTGER2
hepatic_function_abnormal	P49146	NPY2R
hepatic_function_abnormal	P50579	METAP2
hepatic_function_abnormal	P55055	NR1H2
hepatic_function_abnormal	P61073	CXCR4
hepatic_function_abnormal	P78536	ADAM17
acute_hepatic_failure	O14672	ADAM10
acute_hepatic_failure	P07858	CTSB
acute_hepatic_failure	P07949	RET
acute_hepatic_failure	P08183	ABCB1
acute_hepatic_failure	P08908	HTR1A
acute_hepatic_failure	P09237	MMP7
acute_hepatic_failure	P10828	THRB
acute_hepatic_failure	P11229	CHRM1
acute_hepatic_failure	P13631	RARG
acute_hepatic_failure	P13726	F3
acute_hepatic_failure	P13866	SLC5A1
acute_hepatic_failure	P14324	FDPS
acute_hepatic_failure	P14416	DRD2
acute_hepatic_failure	P17612	PRKACA
acute_hepatic_failure	P20648	ATP4A
acute_hepatic_failure	P25100	ADRA1D
acute_hepatic_failure	P28845	HSD11B1
acute_hepatic_failure	P30556	AGTR1
acute_hepatic_failure	P31639	SLC5A2
acute_hepatic_failure	P31645	SLC6A4
acute_hepatic_failure	P32238	CCKAR
acute_hepatic_failure	P32245	MC4R
acute_hepatic_failure	P35968	KDR
acute_hepatic_failure	P41145	OPRK1
acute_hepatic_failure	P47869	GABRA2
acute_hepatic_failure	P49768	PSEN1
acute_hepatic_failure	P50579	METAP2
acute_hepatic_failure	P61073	CXCR4
acute_hepatic_failure	P98170	XIAP
acute_hepatic_failure	Q00975	CACNA1B
acute_hepatic_failure	Q01726	MC1R
acute_hepatic_failure	Q04759	PRKCQ
acute_hepatic_failure	Q86X55	CARM1
acute_hepatic_failure	Q8TEK3	DOT1L
acute_hepatic_failure	Q99720	SIGMAR1
acute_hepatic_failure	Q9Y5N1	HRH3
acute_hepatic_failure	Q9Y5Z0	BACE2
hepatitis_fulminant	P05067	APP
hepatitis_fulminant	P08588	ADRB1
hepatitis_fulminant	P10827	THRA
hepatitis_fulminant	P13612	ITGA4
hepatitis_fulminant	P15538	CYP11B1
hepatitis_fulminant	P25774	CTSS
hepatitis_fulminant	P35218	CA5A
hepatitis_fulminant	P42336	PIK3CA
hepatitis_fulminant	P47869	GABRA2
hepatitis_fulminant	P47989	XDH
hepatitis_fulminant	P48039	MTNR1A
hepatitis_fulminant	P53350	PLK1
hepatitis_fulminant	Q02763	TEK
hepatitis_fulminant	Q16665	HIF1A
hepatitis_fulminant	Q16769	QPCT
hepatitis_fulminant	Q9H228	S1PR5
hepatitis_fulminant	Q9Y239	NOD1
hepatitis_fulminant	Q9Y2D0	CA5B
bronchospasm	O15379	HDAC3
bronchospasm	O43613	HCRTR1
bronchospasm	P00519	ABL1
bronchospasm	P00734	F2
bronchospasm	P00915	CA1
bronchospasm	P03956	MMP1
bronchospasm	P07949	RET
bronchospasm	P08581	MET
bronchospasm	P08912	CHRM5
bronchospasm	P14780	MMP9
bronchospasm	P29274	ADORA2A
bronchospasm	P35367	HRH1
bronchospasm	P41143	OPRD1
bronchospasm	P45452	MMP13
bronchospasm	P55212	CASP6
bronchospasm	P78536	ADAM17
bronchospasm	Q01959	SLC6A3
bronchospasm	Q8NER1	TRPV1
bronchospasm	Q92731	ESR2
bronchospasm	Q9Y5N1	HRH3
hypersensitivity	O60725	ICMT
hypersensitivity	P00533	EGFR
hypersensitivity	P01375	TNF
hypersensitivity	P08172	CHRM2
hypersensitivity	P09874	PARP1
hypersensitivity	P11086	PNMT
hypersensitivity	P14867	GABRA1
hypersensitivity	P16581	SELE
hypersensitivity	P23975	SLC6A2
hypersensitivity	P25021	HRH2
hypersensitivity	P29274	ADORA2A
hypersensitivity	P36888	FLT3
hypersensitivity	P37268	FDFT1
hypersensitivity	P43235	CTSK
hypersensitivity	P47989	XDH
hypersensitivity	P51946	CCNH
hypersensitivity	Q01959	SLC6A3
hypersensitivity	Q07343	PDE4B
hypersensitivity	Q12908	SLC10A2
hypersensitivity	Q9BY41	HDAC8
hypersensitivity	Q9UHL4	DPP7
stevens-johnson_syndrome	O14746	TERT
stevens-johnson_syndrome	O43353	RIPK2
stevens-johnson_syndrome	O43613	HCRTR1
stevens-johnson_syndrome	O94925	GLS
stevens-johnson_syndrome	P00374	DHFR
stevens-johnson_syndrome	P00519	ABL1
stevens-johnson_syndrome	P00734	F2
stevens-johnson_syndrome	P00918	CA2
stevens-johnson_syndrome	P01375	TNF
stevens-johnson_syndrome	P03952	KLKB1
stevens-johnson_syndrome	P06213	INSR
stevens-johnson_syndrome	P07099	EPHX1
stevens-johnson_syndrome	P08069	IGF1R
stevens-johnson_syndrome	P08172	CHRM2
stevens-johnson_syndrome	P08473	MME
stevens-johnson_syndrome	P09874	PARP1
stevens-johnson_syndrome	P11086	PNMT
stevens-johnson_syndrome	P13612	ITGA4
stevens-johnson_syndrome	P13866	SLC5A1
stevens-johnson_syndrome	P15056	BRAF
stevens-johnson_syndrome	P16581	SELE
stevens-johnson_syndrome	P21918	DRD5
stevens-johnson_syndrome	P23280	CA6
stevens-johnson_syndrome	P23458	JAK1
stevens-johnson_syndrome	P27815	PDE4A
stevens-johnson_syndrome	P29275	ADORA2B
stevens-johnson_syndrome	P34913	EPHX2
stevens-johnson_syndrome	P35916	FLT4
stevens-johnson_syndrome	P36888	FLT3
stevens-johnson_syndrome	P43116	PTGER2
stevens-johnson_syndrome	P43166	CA7
stevens-johnson_syndrome	P43235	CTSK
stevens-johnson_syndrome	P43681	CHRNA4
stevens-johnson_syndrome	P45452	MMP13
stevens-johnson_syndrome	P47989	XDH
stevens-johnson_syndrome	P50281	MMP14
stevens-johnson_syndrome	P51946	CCNH
stevens-johnson_syndrome	Q07869	PPARA
stevens-johnson_syndrome	Q12908	SLC10A2
stevens-johnson_syndrome	Q13639	HTR4
stevens-johnson_syndrome	Q9NYA1	SPHK1
stevens-johnson_syndrome	Q9UBN7	HDAC6
stevens-johnson_syndrome	Q9UHL4	DPP7
stevens-johnson_syndrome	Q9ULX7	CA14
stevens-johnson_syndrome	Q9Y2D0	CA5B
dermatitis_exfoliative	O60218	AKR1B10
dermatitis_exfoliative	P06213	INSR
dermatitis_exfoliative	P08588	ADRB1
dermatitis_exfoliative	P11086	PNMT
dermatitis_exfoliative	P13612	ITGA4
dermatitis_exfoliative	P14324	FDPS
dermatitis_exfoliative	P15056	BRAF
dermatitis_exfoliative	P16581	SELE
dermatitis_exfoliative	P32238	CCKAR
dermatitis_exfoliative	P39748	FEN1
dermatitis_exfoliative	P43116	PTGER2
dermatitis_exfoliative	P47989	XDH
dermatitis_exfoliative	Q05586	GRIN1
dermatitis_exfoliative	Q07869	PPARA
dermatitis_exfoliative	Q13002	GRIK2
dermatitis_exfoliative	Q9NTG7	SIRT3
drug_hypersensitivity	O60218	AKR1B10
drug_hypersensitivity	O95822	MLYCD
drug_hypersensitivity	P03952	KLKB1
drug_hypersensitivity	P06213	INSR
drug_hypersensitivity	P07949	RET
drug_hypersensitivity	P09874	PARP1
drug_hypersensitivity	P13497	BMP1
drug_hypersensitivity	P13612	ITGA4
drug_hypersensitivity	P14324	FDPS
drug_hypersensitivity	P17612	PRKACA
drug_hypersensitivity	P18405	SRD5A1
drug_hypersensitivity	P21728	DRD1
drug_hypersensitivity	P22894	MMP8
drug_hypersensitivity	P27815	PDE4A
drug_hypersensitivity	P31639	SLC5A2
drug_hypersensitivity	P31749	AKT1
drug_hypersensitivity	P34903	GABRA3
drug_hypersensitivity	P35348	ADRA1A
drug_hypersensitivity	P42345	MTOR
drug_hypersensitivity	Q16445	GABRA6
drug_hypersensitivity	Q96GD4	AURKB
drug_hypersensitivity	Q96RI1	NR1H4
drug_hypersensitivity	Q9BY41	HDAC8
drug_hypersensitivity	Q9ULX7	CA14
drug_hypersensitivity	Q9Y2D0	CA5B
toxic_epidermal_necrolysis	O14965	AURKA
toxic_epidermal_necrolysis	O43353	RIPK2
toxic_epidermal_necrolysis	P00374	DHFR
toxic_epidermal_necrolysis	P00918	CA2
toxic_epidermal_necrolysis	P06213	INSR
toxic_epidermal_necrolysis	P06401	PGR
toxic_epidermal_necrolysis	P07858	CTSB
toxic_epidermal_necrolysis	P09874	PARP1
toxic_epidermal_necrolysis	P11086	PNMT
toxic_epidermal_necrolysis	P14324	FDPS
toxic_epidermal_necrolysis	P15056	BRAF
toxic_epidermal_necrolysis	P16581	SELE
toxic_epidermal_necrolysis	P17252	PRKCA
toxic_epidermal_necrolysis	P17706	PTPN2
toxic_epidermal_necrolysis	P22894	MMP8
toxic_epidermal_necrolysis	P23280	CA6
toxic_epidermal_necrolysis	P23458	JAK1
toxic_epidermal_necrolysis	P27815	PDE4A
toxic_epidermal_necrolysis	P29371	TACR3
toxic_epidermal_necrolysis	P32247	BRS3
toxic_epidermal_necrolysis	P33527	ABCC1
toxic_epidermal_necrolysis	P41145	OPRK1
toxic_epidermal_necrolysis	P43116	PTGER2
toxic_epidermal_necrolysis	P47989	XDH
toxic_epidermal_necrolysis	P50579	METAP2
toxic_epidermal_necrolysis	P51946	CCNH
toxic_epidermal_necrolysis	P56524	HDAC4
toxic_epidermal_necrolysis	Q13002	GRIK2
toxic_epidermal_necrolysis	Q8TCT1	PHOSPHO1
toxic_epidermal_necrolysis	Q92847	GHSR
toxic_epidermal_necrolysis	Q96GD4	AURKB
toxic_epidermal_necrolysis	Q9BUB5	MKNK1
toxic_epidermal_necrolysis	Q9ULX7	CA14
anaphylactic_shock	O14672	ADAM10
anaphylactic_shock	O43613	HCRTR1
anaphylactic_shock	O95822	MLYCD
anaphylactic_shock	P08172	CHRM2
anaphylactic_shock	P09917	ALOX5
anaphylactic_shock	P10827	THRA
anaphylactic_shock	P11597	CETP
anaphylactic_shock	P20309	CHRM3
anaphylactic_shock	P27338	MAOB
anaphylactic_shock	P29371	TACR3
anaphylactic_shock	P30291	WEE1
anaphylactic_shock	P35968	KDR
anaphylactic_shock	P36544	CHRNA7
anaphylactic_shock	P43490	NAMPT
anaphylactic_shock	P48058	GRIA4
anaphylactic_shock	Q13627	DYRK1A
anaphylactic_shock	Q13639	HTR4
anaphylactic_shock	Q6V1X1	DPP8
cellulitis	O43613	HCRTR1
cellulitis	P04035	HMGCR
cellulitis	P05067	APP
cellulitis	P06401	PGR
cellulitis	P07900	HSP90AA1
cellulitis	P09917	ALOX5
cellulitis	P10826	RARB
cellulitis	P11309	PIM1
cellulitis	P13612	ITGA4
cellulitis	P15056	BRAF
cellulitis	P20309	CHRM3
cellulitis	P21554	CNR1
cellulitis	P22894	MMP8
cellulitis	P31749	AKT1
cellulitis	P35367	HRH1
cellulitis	P36888	FLT3
cellulitis	P37268	FDFT1
cellulitis	P41143	OPRD1
cellulitis	P43116	PTGER2
cellulitis	P47989	XDH
cellulitis	P48147	PREP
cellulitis	P55263	ADK
cellulitis	Q12908	SLC10A2
cellulitis	Q16445	GABRA6
cellulitis	Q86X55	CARM1
cellulitis	Q99808	SLC29A1
cellulitis	Q9NYA1	SPHK1
cellulitis	Q9Y251	HPSE
cellulitis	Q9Y5Z0	BACE2
staphylococcal_infection	O14939	PLD2
staphylococcal_infection	O95822	MLYCD
staphylococcal_infection	P07949	RET
staphylococcal_infection	P08581	MET
staphylococcal_infection	P12931	SRC
staphylococcal_infection	P13631	RARG
staphylococcal_infection	P16109	SELP
staphylococcal_infection	P19438	TNFRSF1A
staphylococcal_infection	P19634	SLC9A1
staphylococcal_infection	P20309	CHRM3
staphylococcal_infection	P29274	ADORA2A
staphylococcal_infection	P29275	ADORA2B
staphylococcal_infection	P29466	CASP1
staphylococcal_infection	P35348	ADRA1A
staphylococcal_infection	P36544	CHRNA7
staphylococcal_infection	P42785	PRCP
staphylococcal_infection	P43088	PTGFR
staphylococcal_infection	P43116	PTGER2
staphylococcal_infection	P46098	HTR3A
staphylococcal_infection	P47900	P2RY1
staphylococcal_infection	P53667	LIMK1
staphylococcal_infection	Q12908	SLC10A2
staphylococcal_infection	Q96GD4	AURKB
staphylococcal_infection	Q9BY41	HDAC8
staphylococcal_infection	Q9Y5Y4	PTGDR2
candidiasis	P00374	DHFR
candidiasis	P06213	INSR
candidiasis	P10828	THRB
candidiasis	P12931	SRC
candidiasis	P13612	ITGA4
candidiasis	P15056	BRAF
candidiasis	P23280	CA6
candidiasis	P23458	JAK1
candidiasis	P24941	CDK2
candidiasis	P31391	SSTR4
candidiasis	P32297	CHRNA3
candidiasis	P34903	GABRA3
candidiasis	P35348	ADRA1A
candidiasis	P43116	PTGER2
candidiasis	P47869	GABRA2
candidiasis	P55072	VCP
candidiasis	Q05586	GRIN1
candidiasis	Q6V1X1	DPP8
candidiasis	Q9BY41	HDAC8
candidiasis	Q9NTG7	SIRT3
candidiasis	Q9NYA1	SPHK1
bronchitis	O14920	IKBKB
bronchitis	O43613	HCRTR1
bronchitis	P03956	MMP1
bronchitis	P08246	ELANE
bronchitis	P10828	THRB
bronchitis	P13612	ITGA4
bronchitis	P14867	GABRA1
bronchitis	P22460	KCNA5
bronchitis	P22894	MMP8
bronchitis	P27338	MAOB
bronchitis	P35348	ADRA1A
bronchitis	P47989	XDH
bronchitis	P61073	CXCR4
bronchitis	Q02750	MAP2K1
bronchitis	Q07343	PDE4B
bronchitis	Q86X55	CARM1
bronchitis	Q8TCT1	PHOSPHO1
pneumonia	O14746	TERT
pneumonia	O14920	IKBKB
pneumonia	P00374	DHFR
pneumonia	P00533	EGFR
pneumonia	P03956	MMP1
pneumonia	P06213	INSR
pneumonia	P07339	CTSD
pneumonia	P07550	ADRB2
pneumonia	P11473	VDR
pneumonia	P12821	ACE
pneumonia	P14324	FDPS
pneumonia	P14867	GABRA1
pneumonia	P20309	CHRM3
pneumonia	P23280	CA6
pneumonia	P24941	CDK2
pneumonia	P25021	HRH2
pneumonia	P28482	MAPK1
pneumonia	P31644	GABRA5
pneumonia	P31749	AKT1
pneumonia	P37288	AVPR1A
pneumonia	P42338	PIK3CB
pneumonia	P49286	MTNR1B
pneumonia	P62993	GRB2
pneumonia	Q03181	PPARD
pneumonia	Q04759	PRKCQ
pneumonia	Q12908	SLC10A2
pneumonia	Q9NTG7	SIRT3
pneumonia	Q9UNA0	ADAMTS5
pneumonia	Q9Y2D0	CA5B
septic_shock	O00519	FAAH
septic_shock	P00797	REN
septic_shock	P07339	CTSD
septic_shock	P09874	PARP1
septic_shock	P09958	FURIN
septic_shock	P10721	KIT
septic_shock	P11387	TOP1
septic_shock	P13612	ITGA4
septic_shock	P14324	FDPS
septic_shock	P16455	MGMT
septic_shock	P17612	PRKACA
septic_shock	P21731	TBXA2R
septic_shock	P23280	CA6
septic_shock	P24941	CDK2
septic_shock	P25116	F2R
septic_shock	P25774	CTSS
septic_shock	P27338	MAOB
septic_shock	P28845	HSD11B1
septic_shock	P29275	ADORA2B
septic_shock	P30542	ADORA1
septic_shock	P36544	CHRNA7
septic_shock	P43088	PTGFR
septic_shock	P47989	XDH
septic_shock	P50281	MMP14
septic_shock	P50406	HTR6
septic_shock	P62937	PPIA
septic_shock	P78536	ADAM17
septic_shock	Q02750	MAP2K1
septic_shock	Q15059	BRD3
septic_shock	Q86X55	CARM1
septic_shock	Q8NER1	TRPV1
septic_shock	Q96GD4	AURKB
septic_shock	Q99685	MGLL
septic_shock	Q99720	SIGMAR1
septic_shock	Q9BY41	HDAC8
rash_pustular	O00519	FAAH
rash_pustular	O43353	RIPK2
rash_pustular	O94925	GLS
rash_pustular	O95822	MLYCD
rash_pustular	P00748	F12
rash_pustular	P03952	KLKB1
rash_pustular	P09467	FBP1
rash_pustular	P09619	PDGFRB
rash_pustular	P10827	THRA
rash_pustular	P11086	PNMT
rash_pustular	P11309	PIM1
rash_pustular	P14416	DRD2
rash_pustular	P16455	MGMT
rash_pustular	P23280	CA6
rash_pustular	P23921	RRM1
rash_pustular	P31644	GABRA5
rash_pustular	P35367	HRH1
rash_pustular	P42785	PRCP
rash_pustular	P43681	CHRNA4
rash_pustular	P46098	HTR3A
rash_pustular	P47989	XDH
rash_pustular	P49356	FNTB
rash_pustular	P51946	CCNH
rash_pustular	Q01726	MC1R
rash_pustular	Q15858	SCN9A
rash_pustular	Q9BY41	HDAC8
rash_pustular	Q9UHL4	DPP7
rash_pustular	Q9Y233	PDE10A
urinary_tract_infection	P03956	MMP1
urinary_tract_infection	P09917	ALOX5
urinary_tract_infection	P14324	FDPS
urinary_tract_infection	P14867	GABRA1
urinary_tract_infection	P17612	PRKACA
urinary_tract_infection	P23280	CA6
urinary_tract_infection	Q86X55	CARM1
urinary_tract_infection	Q9Y2D0	CA5B
influenza	O14920	IKBKB
influenza	O60218	AKR1B10
influenza	O60341	KDM1A
influenza	P19634	SLC9A1
influenza	P34972	CNR2
influenza	P43235	CTSK
limb_injury	P20701	ITGAL
limb_injury	P21728	DRD1
limb_injury	P23280	CA6
limb_injury	P27338	MAOB
limb_injury	P37268	FDFT1
limb_injury	P47989	XDH
limb_injury	P49356	FNTB
limb_injury	P80365	HSD11B2
acute_generalised_exanthematous_pustulosis	O00519	FAAH
acute_generalised_exanthematous_pustulosis	P16109	SELP
acute_generalised_exanthematous_pustulosis	P30305	CDC25B
acute_generalised_exanthematous_pustulosis	P32297	CHRNA3
acute_generalised_exanthematous_pustulosis	P35354	PTGS2
acute_generalised_exanthematous_pustulosis	P35367	HRH1
acute_generalised_exanthematous_pustulosis	P43681	CHRNA4
acute_generalised_exanthematous_pustulosis	P49768	PSEN1
acute_generalised_exanthematous_pustulosis	P53667	LIMK1
acute_generalised_exanthematous_pustulosis	P53779	MAPK10
acute_generalised_exanthematous_pustulosis	Q05586	GRIN1
acute_generalised_exanthematous_pustulosis	Q12908	SLC10A2
acute_generalised_exanthematous_pustulosis	Q9BY41	HDAC8
drug_exposure_during_pregnancy	O14757	CHEK1
drug_exposure_during_pregnancy	O14939	PLD2
drug_exposure_during_pregnancy	O96017	CHEK2
drug_exposure_during_pregnancy	P05412	JUN
drug_exposure_during_pregnancy	P06213	INSR
drug_exposure_during_pregnancy	P07949	RET
drug_exposure_during_pregnancy	P08238	HSP90AB1
drug_exposure_during_pregnancy	P08473	MME
drug_exposure_during_pregnancy	P08581	MET
drug_exposure_during_pregnancy	P08588	ADRB1
drug_exposure_during_pregnancy	P08709	F7
drug_exposure_during_pregnancy	P11086	PNMT
drug_exposure_during_pregnancy	P13726	F3
drug_exposure_during_pregnancy	P13945	ADRB3
drug_exposure_during_pregnancy	P16109	SELP
drug_exposure_during_pregnancy	P18084	ITGB5
drug_exposure_during_pregnancy	P21452	TACR2
drug_exposure_during_pregnancy	P25105	PTAFR
drug_exposure_during_pregnancy	P25774	CTSS
drug_exposure_during_pregnancy	P30874	SSTR2
drug_exposure_during_pregnancy	P31391	SSTR4
drug_exposure_during_pregnancy	P35462	DRD3
drug_exposure_during_pregnancy	P42338	PIK3CB
drug_exposure_during_pregnancy	P42345	MTOR
drug_exposure_during_pregnancy	P46098	HTR3A
drug_exposure_during_pregnancy	P47900	P2RY1
drug_exposure_during_pregnancy	P48058	GRIA4
drug_exposure_during_pregnancy	P48736	PIK3CG
drug_exposure_during_pregnancy	P50579	METAP2
drug_exposure_during_pregnancy	Q02750	MAP2K1
drug_exposure_during_pregnancy	Q05586	GRIN1
drug_exposure_during_pregnancy	Q13627	DYRK1A
drug_exposure_during_pregnancy	Q14416	GRM2
drug_exposure_during_pregnancy	Q6V1X1	DPP8
drug_exposure_during_pregnancy	Q86TI2	DPP9
drug_exposure_during_pregnancy	Q86X55	CARM1
drug_exposure_during_pregnancy	Q969S8	HDAC10
drug_exposure_during_pregnancy	Q9BY41	HDAC8
drug_exposure_during_pregnancy	Q9NYA1	SPHK1
drug_exposure_during_pregnancy	Q9Y5Y4	PTGDR2
fall	O14920	IKBKB
fall	O15379	HDAC3
fall	O60218	AKR1B10
fall	P00519	ABL1
fall	P00748	F12
fall	P03951	F11
fall	P04150	NR3C1
fall	P07949	RET
fall	P08912	CHRM5
fall	P08913	ADRA2A
fall	P09619	PDGFRB
fall	P11473	VDR
fall	P13497	BMP1
fall	P14867	GABRA1
fall	P16109	SELP
fall	P17612	PRKACA
fall	P19793	RXRA
fall	P21554	CNR1
fall	P21728	DRD1
fall	P22303	ACHE
fall	P22460	KCNA5
fall	P23280	CA6
fall	P23975	SLC6A2
fall	P25021	HRH2
fall	P25105	PTAFR
fall	P28845	HSD11B1
fall	P29274	ADORA2A
fall	P30291	WEE1
fall	P31749	AKT1
fall	P35367	HRH1
fall	P39900	MMP12
fall	P40238	MPL
fall	P42338	PIK3CB
fall	P42345	MTOR
fall	P42892	ECE1
fall	P46098	HTR3A
fall	P48147	PREP
fall	P49768	PSEN1
fall	P53667	LIMK1
fall	P53779	MAPK10
fall	P55210	CASP7
fall	P68400	CSNK2A1
fall	Q01959	SLC6A3
fall	Q02750	MAP2K1
fall	Q05655	PRKCD
fall	Q13002	GRIK2
fall	Q13946	PDE7A
fall	Q15078	CDK5R1
fall	Q15858	SCN9A
fall	Q16769	QPCT
fall	Q16790	CA9
fall	Q8TCT1	PHOSPHO1
fall	Q8TDS4	HCAR2
fall	Q92847	GHSR
fall	Q969S8	HDAC10
fall	Q9Y233	PDE10A
fall	Q9Y5Y6	ST14
injury	P07949	RET
injury	P10826	RARB
injury	P29275	ADORA2B
injury	P35367	HRH1
injury	P47989	XDH
injury	Q969S8	HDAC10
head_injury	O43570	CA12
head_injury	O60218	AKR1B10
head_injury	O60674	JAK2
head_injury	O94925	GLS
head_injury	P00519	ABL1
head_injury	P08908	HTR1A
head_injury	P09467	FBP1
head_injury	P11473	VDR
head_injury	P16455	MGMT
head_injury	P20292	ALOX5AP
head_injury	P23458	JAK1
head_injury	P25021	HRH2
head_injury	P29274	ADORA2A
head_injury	P31645	SLC6A4
head_injury	P32246	CCR1
head_injury	P34998	CRHR1
head_injury	P35462	DRD3
head_injury	P35916	FLT4
head_injury	P42785	PRCP
head_injury	P43119	PTGIR
head_injury	P47871	GCGR
head_injury	P53667	LIMK1
head_injury	P68400	CSNK2A1
head_injury	Q02750	MAP2K1
head_injury	Q07343	PDE4B
head_injury	Q13627	DYRK1A
head_injury	Q13946	PDE7A
head_injury	Q15078	CDK5R1
head_injury	Q15858	SCN9A
head_injury	Q86X55	CARM1
head_injury	Q92847	GHSR
head_injury	Q96GD4	AURKB
head_injury	Q9BUB5	MKNK1
blister	O75173	ADAMTS4
blister	O95399	UTS2
blister	P03952	KLKB1
blister	P11229	CHRM1
blister	P13612	ITGA4
blister	P19634	SLC9A1
blister	P20292	ALOX5AP
blister	P20648	ATP4A
blister	P25116	F2R
blister	P28845	HSD11B1
blister	P30291	WEE1
blister	P32245	MC4R
blister	P34913	EPHX2
blister	P34972	CNR2
blister	P35367	HRH1
blister	P35462	DRD3
blister	P36888	FLT3
blister	P37058	HSD17B3
blister	P43235	CTSK
blister	P47989	XDH
blister	P51946	CCNH
blister	P55072	VCP
blister	Q05586	GRIN1
blister	Q05655	PRKCD
blister	Q9H228	S1PR5
blister	Q9HAZ1	CLK4
blister	Q9NYA1	SPHK1
incorrect_dose_administered	O15379	HDAC3
incorrect_dose_administered	P23280	CA6
incorrect_dose_administered	P29466	CASP1
incorrect_dose_administered	P30968	GNRHR
incorrect_dose_administered	P49768	PSEN1
incorrect_dose_administered	P53667	LIMK1
incorrect_dose_administered	Q13946	PDE7A
incorrect_dose_administered	Q15078	CDK5R1
incorrect_dose_administered	Q16790	CA9
incorrect_dose_administered	Q92847	GHSR
incorrect_dose_administered	Q9H228	S1PR5
wrong_drug_administered	P00748	F12
